Entité;Catégorie
13C chronologies;ANALYSIS_METHOD
14C clock;ANALYSIS_METHOD
14C geochronology;ANALYSIS_METHOD
14C records;ANALYSIS_METHOD
14C sample preparation;ANALYSIS_METHOD
18O chronologies;ANALYSIS_METHOD
2.5D-based analysis;ANALYSIS_METHOD
2D/3D annotation approach;ANALYSIS_METHOD
3D object simulations;ANALYSIS_METHOD
3D reconstructions;ANALYSIS_METHOD
3D restitution;ANALYSIS_METHOD
3D-based analysis;ANALYSIS_METHOD
3D-based diagnosis;ANALYSIS_METHOD
abrupt events carbon cycle;ANALYSIS_METHOD
access examination of the vault;ANALYSIS_METHOD
acoustic analysis;ANALYSIS_METHOD
acoustic behavior;ANALYSIS_METHOD
Acoustic methods;ANALYSIS_METHOD
acoustic soundscape;ANALYSIS_METHOD
acoustics;ANALYSIS_METHOD
acoustics simulation;ANALYSIS_METHOD
adaptation to respondents’ profiles;ANALYSIS_METHOD
advanced microscope techniques;ANALYSIS_METHOD
analyses;ANALYSIS_METHOD
analysis;ANALYSIS_METHOD
analysis of alterations;ANALYSIS_METHOD
analysis of lightness parameter evolution with temperature;ANALYSIS_METHOD
analysis of measurements;ANALYSIS_METHOD
analysis of petitions posted on the Net after the fire;ANALYSIS_METHOD
Analysis of slag;ANALYSIS_METHOD
analysis of thermomechanical loads;ANALYSIS_METHOD
analysis of wooden vestiges;ANALYSIS_METHOD
analysis process;ANALYSIS_METHOD
analytical approach;ANALYSIS_METHOD
analytical chemistry;ANALYSIS_METHOD
analytical parameters for laser ablation;ANALYSIS_METHOD
Analytical protocol;ANALYSIS_METHOD
analytical techniques;ANALYSIS_METHOD
annotated surveys;ANALYSIS_METHOD
approximation;ANALYSIS_METHOD
archaeodendrometry;ANALYSIS_METHOD
archaeological analysis;ANALYSIS_METHOD
archaeological data;ANALYSIS_METHOD
archaeological interpretation;ANALYSIS_METHOD
archaeological interpretation restitution;ANALYSIS_METHOD
archaeological models;ANALYSIS_METHOD
Archaeological observations;ANALYSIS_METHOD
archaeological studies;ANALYSIS_METHOD
archaeological study;ANALYSIS_METHOD
Archaeological survey;ANALYSIS_METHOD
Archaeometric approach;ANALYSIS_METHOD
archaeometry;ANALYSIS_METHOD
architectural investigations;ANALYSIS_METHOD
architectural studies;ANALYSIS_METHOD
architectural survey;ANALYSIS_METHOD
architectural surveys;ANALYSIS_METHOD
archival consultation;ANALYSIS_METHOD
assessing impact damage;ANALYSIS_METHOD
assessment;ANALYSIS_METHOD
assessment of heat flux;ANALYSIS_METHOD
assessment of past heritage;ANALYSIS_METHOD
assessment of the stability of historical masonry structures;ANALYSIS_METHOD
assessment of the validity of numerical modelling;ANALYSIS_METHOD
audience analysis of Notre-Dame’s visitors;ANALYSIS_METHOD
authenticity assessment;ANALYSIS_METHOD
backward method;ANALYSIS_METHOD
Bending test;ANALYSIS_METHOD
biogeochemistry;ANALYSIS_METHOD
block-to-block discretization;ANALYSIS_METHOD
building archaeology;ANALYSIS_METHOD
calculation model;ANALYSIS_METHOD
calculation of long term carbonated mix;ANALYSIS_METHOD
calculation procedure;ANALYSIS_METHOD
calculations;ANALYSIS_METHOD
calibrated model;ANALYSIS_METHOD
calibration curve;ANALYSIS_METHOD
calibration curve (IntCal24);ANALYSIS_METHOD
calibration of radiocarbon dates;ANALYSIS_METHOD
case studies;ANALYSIS_METHOD
cataloguing;ANALYSIS_METHOD
analysing remains;ANALYSIS_METHOD
