Entité;Catégorie;Entité_FR
13C chronologies;ANALYSIS_METHOD;chronologies 13C
14C clock;ANALYSIS_METHOD;horloge 14C
14C geochronology;ANALYSIS_METHOD;géochronologie 14C
14C records;ANALYSIS_METHOD;enregistrements 14C
14C sample preparation;ANALYSIS_METHOD;préparation d'échantillons 14C
18O chronologies;ANALYSIS_METHOD;chronologies 18O
2.5D-based analysis;ANALYSIS_METHOD;analyse basée sur la 2.5D
2D/3D annotation approach;ANALYSIS_METHOD;approche d'annotation 2D/3D
3D object simulations;ANALYSIS_METHOD;simulations d'objets 3D
3D reconstructions;ANALYSIS_METHOD;reconstitutions 3D
3D restitution;ANALYSIS_METHOD;restauration 3D
3D-based analysis;ANALYSIS_METHOD;analyse basée sur la 3D
3D-based diagnosis;ANALYSIS_METHOD;diagnostic basé sur la 3D
abrupt events carbon cycle;ANALYSIS_METHOD;cycle du carbone avec événements brusques
access examination of the vault;ANALYSIS_METHOD;examen des accès de la voûte
acoustic analysis;ANALYSIS_METHOD;analyse acoustique
acoustic behavior;ANALYSIS_METHOD;comportement acoustique
Acoustic methods;ANALYSIS_METHOD;méthodes acoustiques
acoustic soundscape;ANALYSIS_METHOD;paysage sonore acoustique
acoustics;ANALYSIS_METHOD;acoustique
acoustics simulation;ANALYSIS_METHOD;simulation acoustique
adaptation to respondents’ profiles;ANALYSIS_METHOD;adaptation aux profils des répondants
advanced microscope techniques;ANALYSIS_METHOD;techniques avancées de microscopie
analyses;ANALYSIS_METHOD;analyses
analysis;ANALYSIS_METHOD;analyse
analysis of alterations;ANALYSIS_METHOD;analyse des altérations
analysis of lightness parameter evolution with temperature;ANALYSIS_METHOD;analyse de l'évolution du paramètre de luminosité en fonction de la température
analysis of measurements;ANALYSIS_METHOD;analyse des mesures
analysis of petitions posted on the Net after the fire;ANALYSIS_METHOD;analyse des pétitions publiées sur Internet après l'incendie
Analysis of slag;ANALYSIS_METHOD;analyse des scories
analysis of thermomechanical loads;ANALYSIS_METHOD;analyse des charges thermomécaniques
analysis of wooden vestiges;ANALYSIS_METHOD;analyse des vestiges en bois
analysis process;ANALYSIS_METHOD;processus d'analyse
analytical approach;ANALYSIS_METHOD;approche analytique
analytical chemistry;ANALYSIS_METHOD;chimie analytique
analytical parameters for laser ablation;ANALYSIS_METHOD;paramètres analytiques pour l'ablation laser
Analytical protocol;ANALYSIS_METHOD;protocole analytique
analytical techniques;ANALYSIS_METHOD;techniques analytiques
annotated surveys;ANALYSIS_METHOD;levés annotés
approximation;ANALYSIS_METHOD;approximation
archaeodendrometry;ANALYSIS_METHOD;archéodendrométrie
archaeological analysis;ANALYSIS_METHOD;analyse archéologique
archaeological data;ANALYSIS_METHOD;données archéologiques
archaeological interpretation;ANALYSIS_METHOD;interprétation archéologique
archaeological interpretation restitution;ANALYSIS_METHOD;restauration de l'interprétation archéologique
archaeological models;ANALYSIS_METHOD;modèles archéologiques
Archaeological observations;ANALYSIS_METHOD;observations archéologiques
archaeological studies;ANALYSIS_METHOD;études archéologiques
archaeological study;ANALYSIS_METHOD;étude archéologique
Archaeological survey;ANALYSIS_METHOD;relevé archéologique
Archaeometric approach;ANALYSIS_METHOD;approche archéométrique
archaeometry;ANALYSIS_METHOD;archéométrie
architectural investigations;ANALYSIS_METHOD;enquêtes architecturales
architectural studies;ANALYSIS_METHOD;études architecturales
architectural survey;ANALYSIS_METHOD;relevé architectural
architectural surveys;ANALYSIS_METHOD;relevés architecturaux
archival consultation;ANALYSIS_METHOD;consultation d'archives
assessing impact damage;ANALYSIS_METHOD;évaluation des dommages par impact
assessment;ANALYSIS_METHOD;évaluation
assessment of heat flux;ANALYSIS_METHOD;évaluation du flux de chaleur
assessment of past heritage;ANALYSIS_METHOD;évaluation du patrimoine passé
assessment of the stability of historical masonry structures;ANALYSIS_METHOD;évaluation de la stabilité des structures en maçonnerie historiques
assessment of the validity of numerical modelling;ANALYSIS_METHOD;évaluation de la validité de la modélisation numérique
audience analysis of Notre-Dame’s visitors;ANALYSIS_METHOD;analyse du public des visiteurs de Notre-Dame
authenticity assessment;ANALYSIS_METHOD;évaluation de l'authenticité
backward method;ANALYSIS_METHOD;méthode rétrograde
Bending test;ANALYSIS_METHOD;essai de flexion
biogeochemistry;ANALYSIS_METHOD;biogéochimie
block-to-block discretization;ANALYSIS_METHOD;discrétisation bloc à bloc
building archaeology;ANALYSIS_METHOD;archéologie du bâti
calculation model;ANALYSIS_METHOD;modèle de calcul
calculation of long term carbonated mix;ANALYSIS_METHOD;calcul du mélange carbonaté à long terme
calculation procedure;ANALYSIS_METHOD;procédure de calcul
calculations;ANALYSIS_METHOD;calculs
calibrated model;ANALYSIS_METHOD;modèle calibré
calibration curve;ANALYSIS_METHOD;courbe de calibration
calibration curve (IntCal24);ANALYSIS_METHOD;courbe de calibration (IntCal24)
calibration of radiocarbon dates;ANALYSIS_METHOD;calibration des datations au carbone 14
case studies;ANALYSIS_METHOD;études de cas
cataloguing;ANALYSIS_METHOD;catalogage
analysing remains;ANALYSIS_METHOD;analyse des vestiges
cataloguing and study of remains;ANALYSIS_METHOD;catalogage et étude des vestiges
CFD model;ANALYSIS_METHOD;modèle CFD
CFD smulation;ANALYSIS_METHOD;CFD smulation
characterisation;ANALYSIS_METHOD;caractérisation
characterisation of deposits;ANALYSIS_METHOD;caractérisation des dépôts
characterisation of glass pieces;ANALYSIS_METHOD;caractérisation des fragments de verre
characterisation of materials;ANALYSIS_METHOD;caractérisation des matériaux
characterisation of paints;ANALYSIS_METHOD;caractérisation des peintures
characterization of 14C signal;ANALYSIS_METHOD;caractérisation du signal 14C
chemical analyses;ANALYSIS_METHOD;analyses chimiques
chemical analysis reconstitution;ANALYSIS_METHOD;reconstitution d'analyse chimique
chemical fingerprint;ANALYSIS_METHOD;empreinte chimique
chemical procedure;ANALYSIS_METHOD;procédure chimique
chemical procedure described in [18];ANALYSIS_METHOD;procédure chimique décrite dans [18]
CHM approach;ANALYSIS_METHOD;approche CHM
chronology obtained by dendrochronological dating;ANALYSIS_METHOD;chronologie obtenue par datation dendrochronologique
CIELAB space scans;ANALYSIS_METHOD;scans de l'espace CIELAB
civil engineering;ANALYSIS_METHOD;génie civil
classical protocol adaptation;ANALYSIS_METHOD;adaptation du protocole classique
Clear wood tests;ANALYSIS_METHOD;essais sur bois clair
climate reconstruction;ANALYSIS_METHOD;reconstruction climatique
collaborative analysis of multidisciplinary resources;ANALYSIS_METHOD;analyse collaborative de ressources multidisciplinaires
collaborative indexing;ANALYSIS_METHOD;indexation collaborative
colorimetric analysis;ANALYSIS_METHOD;analyse colorimétrique
colorimetric characterisation;ANALYSIS_METHOD;caractérisation colorimétrique
colorimetric study;ANALYSIS_METHOD;étude colorimétrique
colorimetry;ANALYSIS_METHOD;colorimétrie
colorimetry method;ANALYSIS_METHOD;méthode de colorimétrie
common calculation hypotheses;ANALYSIS_METHOD;hypothèses de calcul communes
common protocol;ANALYSIS_METHOD;protocole commun
comparative analysis;ANALYSIS_METHOD;analyse comparative
comparative criteria;ANALYSIS_METHOD;critères comparatifs
comparative grid;ANALYSIS_METHOD;grille comparative
comparative perspective;ANALYSIS_METHOD;perspective comparative
comparative studies;ANALYSIS_METHOD;études comparatives
compare with Notre-Dame signature;ANALYSIS_METHOD;comparer avec la signature de Notre-Dame
comparison of 2D and 3D approaches;ANALYSIS_METHOD;comparaison des approches 2D et 3D
comparison of mean exposure;ANALYSIS_METHOD;comparaison des expositions moyennes
comparison of shapes;ANALYSIS_METHOD;comparaison des formes
comparisons;ANALYSIS_METHOD;comparaisons
complementary surveys on Notre-Dame’s visitors;ANALYSIS_METHOD;enquêtes complémentaires sur les visiteurs de Notre-Dame
computation;ANALYSIS_METHOD;calcul
Computational Fluid Dynamics (CFD);ANALYSIS_METHOD;Dynamique des Fluides Numérique (DFN)
